text,label,source
A video shows British Prime Minister Boris Johnson serving journalists tea after recovering from COVID-19.,0,CoAID
Scientists Òare shocked to discover that weed kills coronavirus.Ó,0,CoAID
"Managing Newborns of Mothers With COVID-19: Clinical Practice Guidelines (AAP, 2020). what your doctor is reading on medscape.com april 24 2020 --in april 2020 the american academy of pediatrics aap released initial clinical practice guidelines on the management of infants born to mothers with confirmed or suspected coronavirus disease 2019 covid-19. key points are listed below.[1 owing to the increased likelihood of maternal virus aerosols and the potential need to administer newborn resuscitation to infants with covid-19 infection use airborne droplet and contact p.",1,CoAID
"Masks are dirty and cause bacterial overgrowth, skin infections, and “mask mouth”, which is a new medical condition caused by wearing masks all day",0,CoAID
COVID-19 Science Update released: October 20. understanding immune response to sars cov-2 infection is important to comprehend factors that may play role in mitigating epidemic such as whether persons develop lasting immunity after recovery from infection and optimal vaccine induced immunity to provide adequate protection. additionally understanding timing of antibody response and neutralizing activity can help direct optimal timing for convalescent plasma donation. here we present three papers evaluating magnitude d.,1,CoAID
CDC COVID-19 Global Response. centers for disease control and prevention. cdc twenty four seven. saving lives protecting people centers for disease control and prevention. cdc twenty four seven. saving lives protecting people.,1,CoAID
More USS Roosevelt Sailors Test Positive Again. this website is using a security service to protect itself from online attacks ..,1,CoAID
Commentary: Novel Coronavirus (2019-nCoV): FAQs for Clinicians. what your doctor is reading on medscape.com january 30 2020 -- the wuhan coronavirus 2019-ncov outbreak has unfolded so rapidly that many clinicians are scrambling to stay on top of it. here are the answers to some frequently asked questions about how to prepare your clinic to respond to this outbreak. keep in mind that the outbreak is moving rapidly. though scientific and epidemiologic knowledge has increased at unprecedented speed there is much we do n't know and some of what we think w.,1,CoAID
"An explosion that occurred in Wuhan, China, is tied to the coronavirus outbreak.",0,CoAID
COVID-19: Saliva Tests Could Detect Silent Carriers,1,CoAID
NYC Stopping Subways Overnight to Disinfect Trains. this website is using a security service to protect itself from online attacks ..,1,CoAID
ÒThe Chinese Communist Party is using Zoom as a way to spy on our citizens.Ó,0,CoAID
People With Parkinson's Disease Have a Higher Risk of Dying from COVID-19,1,CoAID
"Ketamine lifts mood quickly in bipolar disorder. NEW YORK (Reuters Health) - An infusion of the anesthetic ketamine can lift mood within minutes in patients suffering from severe bipolar depression, according to a small study out this month in the Archives of General Psychiatry.

The 18 patients in the study had tried an average of seven different drugs for treating their bipolar illness, and were still severely depressed; 55 percent had failed electroconvulsive therapy (ECT), or shock treatment. But within 40 minutes of receiving a ketamine injection, their depressive symptoms improved; the effect persisted for at least three days.

Right now, medications available for treating either major depression or bipolar illness can take weeks, or even months, to work, notes Dr. Carlos A. Zarate Jr. of the National Institutes of Health in Bethesda, Maryland, one of the researchers on the study.

And as a person waits for their medications to kick in, he added, they will continue to have difficulty working and coping with social and family life; they may even be having thoughts of suicide. “We want to alleviate the suffering and get them back to their life,” he said.

Zarate and his colleagues had previously demonstrated that ketamine shots helped some patients with treatment-resistant unipolar depression, meaning they did not cycle through manic episodes. In the new study, they gave patients with bipolar illness ketamine or a placebo on two test days two weeks apart.

All of the patients were on lithium or valproate - two drugs commonly used for bipolar illness - but had not responded to treatment. Nearly all were unemployed, Zarate and his team note, and two-thirds were on psychiatric disability.

Compared to placebo, patients showed significant improvement in mood within 40 minutes of receiving the ketamine infusion, using a common depression rating scale. Symptom improvement peaked two days after the injection, but remained significantly greater than for placebo for three days.

Seventy-one percent of the patients responded to ketamine, meaning they had at least a 50 percent improvement in their depressive symptoms. Six percent responded to placebo.

Side effects included anxiety, “feeling woozy or loopy,” headache, and dissociative symptoms, meaning a temporary sense of disconnection from reality, although there were no serious adverse events. By developing more specifically targeted drugs, Zarate noted, it may be possible to treat patients effectively while avoiding these symptoms.

Ketamine appears to work by “resetting” the way nerve cells process glutamate, a brain chemical key for learning, memory, and other functions, according to Zarate. The problem in bipolar illness and depression, he explains, doesn’t appear to be that a person has too much or too little glutamate; instead, it’s likely that the way their neurons release and take up the chemical is out of whack.

First introduced in 1962, ketamine is used legally in both human and veterinary medicine as an anesthetic. It’s also a drug of abuse, at much higher doses than those used in Zarate’s research; while patients in the current study received about 50 milligrams during a 40-minute period, a dose too low to induce anesthesia, recreational users of ketamine, known as “Special K,” may take hundreds of milligrams per week.

In 1999, US regulators classified ketamine as a Schedule III controlled substance, meaning it has the potential for abuse but is also useful medically.

Ketamine could improve treatment of bipolar illness and depression in a variety of ways, Zarate said; for example, as a means to jump-start standard drug treatment, or as an anesthetic before ECT. “It’s opened the floodgate of many different directions of research, and all of them are quite encouraging,” said Zarate, who along with a co-author has filed for a patent on the use of ketamine in depression. Those rights would be assigned to his employer, the National Institutes of Health.

Efforts are already underway in Europe to develop guidelines for how ketamine should be used and prescribed to treat bipolar illness and depression, the researcher said.

In the US, research is continuing on the drug, he added, and some physicians are likely trying the drug in their patients with bipolar illness or depression who aren’t helped by standard treatments. But, according to Zarate, more research is needed on how to use the drug in the safest and most effective way.

SOURCE: link.reuters.com/wek23n Archives of General Psychiatry, August 2010.",0,FakeHealth-HealthStory
"Boomers are going bionic, and they want joint replacements to let them do it all. “We thought we’d be young forever,” said Francis, who co-anchors a radio news program in Washington, D.C. “The big wake-up call is when our bodies wear down.”

Take Elliott Francis, 64, who had his second hip replacement surgery in February. Growing up, he was “a jumper and a rebounder,” he said, scooping basketballs off the rim during Roxbury pickup games and later playing in high school and college.

For a generation that pounded its joints doing aerobics, running marathons, and carving up the ski slopes, it’s time to roll out the spare parts.

Baby boomers, determined to keep moving no matter what wear and tear and arthritis have wrought, are fueling a surge in joint replacements. Taking advantage of improved artificial joints and surgical methods, aging Americans are getting so many new hips, knees, shoulders, and ankles that orthopedic surgeons are having trouble meeting the demand.

Advertisement

Hip replacements in the United States more than doubled between 2000 and 2014 — from 160,282 to 371,605 a year — according to the most recent data from the Healthcare Cost and Utilization Project, which tracks hospital discharges. Knee replacements increased at an even faster clip in the same period, from 274,467 to 680,886.

The procedures can cost up to $50,000 for knees and $40,000 for hips, though the prices vary widely among Medicare and private insurers, which typically bear the bulk of the cost. The average age of patients listed in the American Joint Replacement Registry is about 66.

With millions more boomers still in their late 50s and early 60s, the trend will only continue.

“They’re aging, they’ve had some injuries, and they want to continue to be active into their 60s, 70s, and 80s. And they need a good joint to do that,” said Dr. David Mattingly, surgeon in chief at New England Baptist Hospital in Boston, one of the nation’s top orthopedics centers.

Advertisement

A patient looked at joint replacement models. Suzanne Kreiter/Globe staff

The surgical surge has created an expanding brigade of bionic baby boomers whose artificial parts are accompanied by sky-high expectations — something doctors struggle to manage. Despite steady improvement in technology and outcomes, replacement joints don’t create superhumans. Still, many patients are lifelong fitness buffs who begin plotting their return to the gym, the golf course, or the cross-country skiing trails the moment they are discharged from the hospital.

Winthrop retiree John Carver, 76, is already back at the fitness center after having replacement surgery on his right knee in February. “My goal is to get back to an hour — 30 minutes on the elliptical and some back exercises,” he said. A Marine veteran who ran the New York City Marathon the year he turned 40, Carver has scheduled a similar procedure on his left knee in May, early enough “to be ready for golf season.”

For those who are still working at physically demanding jobs, there are other considerations.

“I’m up and down the scaffolding all day,” said David Smith, 62, of Arlington, a construction superintendent in Boston who had a hip replacement in January. “My first focus was to just get on my feet so I can work another 10 years. So I said, ‘OK, let’s get this done.’ ”

Smith, who played hockey in college and as an adult and spent years lifting heavy equipment on building sites, plans to return to his job this spring. But he has already resumed golfing — on a March trip to visit his son and his family in Atlanta. And, he promised, “I will get on the skates again.”

Advertisement

Like Smith, many boomers endured months or years of pain before surgery, pain caused by “bone-on-bone” friction when cartilage deterioration eroded their bone cushioning. Some took multiple cortisone shots, hoping to avoid surgeries. But having had the procedures, many say they wish they’d done it sooner.

West Newbury’s town clerk, Mike McCarron,, 62, played high school and college football and once climbed Mount Washington in the winter. McCarron underwent two knee replacements simultaneously in 2011. “I had a coupon,” he joked. Now he runs on the treadmill at his Merrimack Valley gym and hikes in the Maine wilderness.

Susan Nadworny, 61, of Melrose, owned an aerobics studio in Boston’s North End during the 1980s and 1990s. There, she spent three or four hours a day leading high-impact exercise classes. Nadworny, who now works as a public policy advocate for people with disabilities, had knee replacement surgery last April. Nearly a year later, she pedals an indoor exercise bicycle and spends an hour a day walking dogs in the woods.

The vast majority of joint-surgery patients report much less pain and greater mobility afterward, with success rates topping 95 percent, according to the American Academy of Orthopedic Surgeons, a physicians organization. In patient-reported surveys, some still complain of pain and tissue inflammation after their procedures. Smaller numbers suffer serious complications, ranging from blood clotting to hospital-acquired infections.

Advertisement

At New England Baptist, a physical therapist showed patients about to have joints replaced how to use crutches. Suzanne Kreiter/Globe staff

New England Baptist expects to perform a record 7,000 knee and hip replacements at its Mission Hill campus this year, a nearly sixfold increase from the 1,200 annually it did in the mid-1980s. “Most of the busy guys do 15 to 20 a week,” Mattingly said.

Last year, the average salary for joint-replacement specialists topped $575,000, reported the Dallas consulting firm Merritt Hawkins & Associates, compared with just over $230,000 for family doctors.

Because of improvements in materials and the way they’re treated and sterilized, implants — which include polyethylene and titanium alloys — don’t wear down as fast as they once did. Implants now have a 90 percent chance of lasting two decades, much longer than in the past, Mattingly said.

While physical activity obviously plays a role in joint deterioration, genetics may be the biggest factor in determining who needs a replacement and when, he said. Knee replacements were first offered in the 1960s, and hip replacements began in the 1940s, so many boomers are facing the same surgeries their fathers and mothers underwent.

But boomers may have a tougher time coming to terms with the reality that a new body part doesn’t mean they can resume all of the high-impact activities that were a major part of their lives.

“Nobody will return to playing football,” Mattingly said. “The person who struggles is the one who’s done long-distance running for years and just doesn’t want to give it up.”

Technology could eventually change that. Joint implants have become more customized to suit individual patients, but a Billerica company is pushing the personalization trend further. ConforMIS Inc. uses 3-D printing and imaging software to more precisely tailor replacement joints. It sells between 17,000 and 20,000 personalized knee implants a year — still a small share of the market — and last year won US regulatory approval for its first hip implants.

Advertisement

“The baby boomer explosion is a big deal in health care,” said ConforMIS chief executive Mark Augusti. “Technology has to be part of the solution. Baby boomers expect to be more active as they get older and have higher expectations about quality of life in their later years.”

Stephanie Donvan, 60, of Arlington, who received a ConforMIS knee replacement in May, recalled feeling like she was “carrying a dead tree trunk” before the surgery.

Now, she said, “I’m out walking my Lab about five miles a day, every day. I can run in the snow and ride my bike. I have complete range of motion . . . We want to keep going till we’re in our 80s or 90s. We don’t want to give up all the things we’re doing.”

Robert Weisman can be reached at robert.weisman@globe.com. Follow him on Twitter @GlobeRobW.",1,FakeHealth-HealthStory
Neighbors Harvest Crops After Farmer’s Heart Attack. this website is using security service to protect itself from online attacks ..,1,CoAID
"Loss of smell may suggest milder COVID-19, study finds. new research suggests that loss of smell as a symptom of covid-19 may indicate a mild case of the disease. there may be an association between the loss of smell or anosmia and mild cases of covid-19. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. a new study has found that loss of smell which is a re.",1,CoAID
How Home Healthcare Workers Are Navigating the COVID-19 Outbreak. home healthcare workers are using everything from televisits and protective gear to thermometers to continue to take care of people in their homes. getty images the covid-19 outbreak is forcing home healthcare workers to change how they treat older adults and ill people. agency officials say their workers are conducting more televisits to help avoid transmitting the virus to their clients. they re also wearing personal protective gear more often and carrying thermometers to check for fever.,1,CoAID
Man Serenades Seniors During Coronavirus Lockdown. march 19 2020 -- as senior living homes across the country go on lockdown to prevent the spread of coronavirus people are finding new ways to connect with their loved ones and lift their spirits. one man is going viral online after serenading his 86-year old mother and her neighbors outside their building in tennessee. harmony at brentwood shared photos on facebook of its residents enjoying the special concert from their balconies and rooms. the musician who tennessean.com identified as da.,1,CoAID
Not All Biologics Compromise the Immune System. what your doctor is reading on medscape.com april 06 2020 -- the biologics used to treat conditions such as asthma chronic hives eczema and sinusitis are unlike the ones used to treat autoimmune disorders which target specific molecules in the immune system involved with inflammation. the biologics we use for allergy and asthma work on the allergic arm of the immune system said jeffrey factor md from the connecticut asthma allergy center in west hartford. that means they are not.,1,CoAID
ÒSo let me get this straight about this virus. ItÕs ÔnewÕ yet it was lab created and patented in 2015 (in development since 03Õ).Ó,0,CoAID
ECOSOC Informal Briefing on 'Joining Forces: Effective Policy Solutions for Covid-19 Response'. who director general dr tedros joined senior un officials virtually to brief un member states on the covid-19 response. he highlighted the current dimensions of the outbreak who s response efforts and the urgent need for global solidarity to beat the virus and to ensure equitable access to vaccines when they become available.,1,CoAID
Coronavirus (COVID-19) test results: How long do they take?. it can take anything from few hours to several days to receive covid-19 test results. length of time will vary depending on type of test and where it took place. novel coronavirus known as sars cov-2 is very contagious. some people who catch sars cov-2 develop coronavirus disease 2019 covid-19 which affects respiratory system. most people who contract virus will experience mild symptoms or no symptoms at all. however some people will develop severe covid-19 which can.,1,CoAID
"The Week That Wasn't in COVID-19: 17 Days, Peak in 3 Weeks, Croc. what your doctor is reading on medscape.com march 27 2020 -- this week mainstream news reported that coronavirus was detected on a cruise ship 17 days after passengers with the virus left the ship a man who breached quarantine was eaten by a crocodile and that peak coronavirus deaths are expected in 3 weeks. medscape medical news did n't cover these stories. here 's why. in mid february the carnival owned diamond princess cruise ship had the largest outbreak of coronavirus infections outsi.",1,CoAID
BelgiumÕs health minister banned sex inside or with 3 or more people.. belgium health minister maggie de block has put a ban on all non essential sexual activities of persons 3 or greater in indoor areas. health minister de block announced today that effective immediately non essential sexual activities of 3 people or more are banned in belgium to combat the spread of covid-19. de block said she was forced to act swiftly because of belgiums reputation as being the beer drinking and group sex capital of europe. health minister de block did not ban single.,0,CoAID
"Allergy sufferers find relief in immunotherapy toothpaste. Millions of Americans suffer from pet allergies that prevent them from enjoying the benefits of owning a dog or a cat. Thea Joyce is among them, but couldn’t bear the thought of having to give up her two cats, Kirby and Lennon.

“It was really bad,” Joyce, 29, told FoxNews.com. “I was just itchy all the time and sneezing all the time. I was really uncomfortable and miserable.”

Joyce tried over-the-counter medications but couldn’t find relief. She consulted an allergist at Weill Cornell Medicine/New York-Presbyterian Hospital, where a clinical trial involving immunotherapy toothpaste was taking place.

The toothpaste, called Allerdent, works to keep breath fresh and fight cavities while also offering the same benefits as an allergy shot or drops. Researchers found that applying the extracts found in a shot to the lining of a patient’s mouth worked just as well to alleviate symptoms.

“The patients who came in were treated for the very things that they were sensitive to, and that included indoor allergens, like dustmite and pet dander, as well as outdoor allergens such as tree pollen, grass pollen, ragweed pollen,” Dr. William Reisacher, an associate professor of otolaryngology and director of allergy services at Weill Cornell Medicine/New York-Presbyterian Hospital, told FoxNews.com.

Joyce, who lives in the Bronx, New York, signed on for the year-long study that required six of the 12 volunteers to brush their teeth for two minutes using two pumps of the toothpaste in either the morning or night, and the other six to use drops under their tongue. Volunteers using the toothpaste were also required to log their usage in a journal.

Both groups reported a significant decrease in their symptoms, including Joyce, who was in the toothpaste group.

Allerdent is not covered by insurance, meaning Joyce spends about $400 every three months but said the cost is worth it.

“I used to be so irritable because I was so uncomfortable,” Joyce said. “But now I don’t really feel allergy symptoms anymore.”

To find a prescribing doctor for Allerdent in your area or to find more information, visit Allovate.com.",0,FakeHealth-HealthStory
Resources for State. centers for disease control and prevention. cdc twenty four seven. saving lives protecting people centers for disease control and prevention. cdc twenty four seven. saving lives protecting people.,1,CoAID
"If you decide you don’t want the COVID-19 vaccine, the military will help convince you.. earlier today trump administration released its plans to vaccine everyone in short time. three potential vaccines are currently in stage 3 trials in united states and could be ready in weeks president donald trump said tuesday. time is running out. and trump has military lined up and ready to distribute this vaccine to public whether you want it or not. plan is to distribute vaccine first to health care and other vital workers as well as those most vulnerable like.",0,CoAID
CNBC reported that “Coronavirus patients without symptoms aren’t driving the spread of the virus” based on remarks by a WHO official at a press briefing on 8 June 2020.. world health organization officials on tuesday walked back the comments below that were made on monday after drawing criticism from epidemiologists across the world. dr. maria van kerkhove head of the who 's emerging diseases and zoonosis unit said tuesday that asymptomatic spread is a really complex question and much is still unknown. we do n't actually have that answer yet she said. i was responding to a question at the press conference. i was n't stating a policy of who or anything like.,0,CoAID
"The drug industry might finally have an answer for migraines. Artist Lorie Novak in front of work from her Migraine Register project, which documents all the time she's lost to debilitating migraines.

It often starts with the aura.

Zig-zagging lines come into view, everyday light becomes searingly bright, and vision starts to slip. These are signals that a debilitating migraine is on its way.

“It’s like you’re possessed,” said Lorie Novak, who has suffered from chronic migraines since childhood. “I almost feel separate from my body, like it’s just this painful shell around me that’s not me.”

advertisement

Novak, now in her 60s, is one of the roughly 35 million Americans who suffer from migraines. There are few effective treatments, and no new drugs have been developed since the early 1990s.

But that could soon change. A handful of drug companies are pressing ahead with novel injectable therapies for migraines, chasing a blockbuster market that Wall Street analysts say could reach $8 billion a year in worldwide sales.

The new drugs target a bodily protein called CGRP, which plays a role in the dilation of blood vessels in the brain. Scientists haven’t nailed down just how the protein affects migraines, but they’re sure about two things: CGRP levels rocket up when headaches attack and normalize when they go away.

And thus four drug makers — Amgen (AMGN), Eli Lilly, Teva Pharmaceuticals, and Alder Biopharmaceuticals — have fashioned antibodies that can bind to CGRP molecules and block their activity. The goal: to relieve the scourge of chronic migraines by stopping CGRP in its tracks.

So far, it seems to be working. In mid-stage clinical trials, each of the four treatments has eased symptoms for about half of study participants, cutting the number of days they’re afflicted by migraines roughly in half. It’s by no means a cure for migraines, but it should be enough to merit Food and Drug Administration approvals if the companies can replicate those results in larger trials, according to Eric Schmidt, a securities analyst at Cowen and Co.

Each treatment is now in late-stage development, targeting the roughly 38 percent of migraine sufferers who, like Novak, have at least four headache days per month. The first therapy could hit the market in 2018, and, if everything works out, all four could available by the end of the decade.

So far, the four drugs have performed similarly in clinical trials, and analysts expect the contenders will have to compete on price to grab market share.

“There will certainly be hypercompetition,” said William Ratner, Lilly’s senior director of global headache marketing. But the companies’ fortunes are intertwined, he said, and “the class only wins if headache care in America improves.”

Aiming to prevent migraines before they start

There’s plenty of room for improvement. Existing therapies are plagued by inconsistent efficacy and troublesome side effects, and patients are often left to rely on a repurposed treatment for epilepsy. That medication, Topamax, has been dubbed dubbed “Sleepomax” by doctors and patients because it’s also a heavy sedative.

“I’m very enthusiastic, as I think everyone in the field is, about having another treatment option for people with migraines,” said Dr. Elizabeth Loder, a professor of neurology at Harvard Medical School and chief of the headache division in the department of neurology at Brigham and Women’s Hospital.

Targeting CGRP is not a particularly new idea. Researchers picked up on the protein’s scent more than 30 years ago, and drug companies spent years trying to craft pills that might block its activity. Merck got all the way into late-stage trials with an anti-CGRP tablet, spending more than $1 billion only to find in 2011 that the drug had toxic effects on the liver and thus no future.

With the “exquisite sensitivity” of an antibody, however, scientists believe they can block CGRP without triggering dangerous side effects, Alder CEO Randy Schatzman said.

Because antibodies stay active in the body for weeks, the drug companies see their new products as preventative therapies, injected monthly or quarterly to keep headaches at bay. (Merck’s failed pill, by contrast, was meant as an on-the-spot treatment after the pain started.)

“So in some senses, it’s a paradigm shift,” Schatzman said.

But there are still hurdles to clear. Only about half of patients seem to respond to CGRP antibodies, and the companies have no way of predicting who they are ahead of time. A genetic test would be “the Holy Grail of personalized medicine,” said Rob Lenz, Amgen’s global development lead for neuroscience, but no one has made one yet.

And long-term safety remains a major question mark. To date, none of the companies has reported serious side effects in clinical trials, but they’ve only reported data from 12-week studies on about 1,500 total patients. It will take years to determine just what the new therapies do to the body over time, Loder said.

‘I felt like my life was being stolen from me’

Any advance, even an incremental one, would be a major leap for the field, said Emily Bates, who studies the genetic causes of headaches at the University of Colorado and is not affiliated with any of the companies working on migraine treatment.

Bates struggled with chronic migraines in high school and college. Like many patients, she didn’t respond to any of the preventative therapies available.

“The pain is more than anything I’ve ever experienced, and I’ve run on broken legs before,” she said. “I felt like my life was being stolen from me.”

Collectively, Americans miss about 113 million workdays each year because of migraine. That lost productivity costs society about $13 billion each year, according to the Migraine Research Foundation.

Yet scientific progress has been slow, in part because migraine was long considered a psychosomatic condition not worthy of serious research funding, Bates said.

It’s a “subjective symptom that predominantly affects women,” said Loder, the Harvard neurologist. “That’s a perfect combination of things that make people feel able to dismiss it.”

Novak, a professor of photography at New York University’s Tisch School of the Arts, spent years trying to hide her migraines because of the stigma attached to the condition. But she decided to change all that in 2009 with a project called Migraine Register. She takes a photo of herself each day she has a migraine. Some years, that’s more than 120 pictures.

The idea, in part, was to humanize chronic migraines. But the project also forced Novak to reckon with the toll of the disease, something she had tried to ignore for years.

“That for me was like a concrete proof of how it really does affect my life,” Novak said, “of how much time I lose.”",0,FakeHealth-HealthStory
Reducing Stigma. recommendations for worker infection prevention are based on an approach known as the hierarchy of controls. this approach groups actions by their likely effectiveness in reducing or removing hazards. in most cases the preferred approach is to eliminate a hazard or hazardous processes e.g. exclude sick workers and visitors install feasible engineering controls and implement appropriate protocols for cleaning disinfection and sanitation to further reduce exposure or shield farmworkers. unti.,1,CoAID
Whether 60 Democrats voted against coronavirus stimulus bill.,0,CoAID
Investigational ChAdOx1 nCoV-19 vaccine protects monkeys against COVID-19 pneumonia. a single dose of chadox1 ncov-19 an investigational vaccine against sars cov-2 has protected six rhesus macaques from pneumonia caused by the virus according to national institutes of health scientists and university of oxford collaborators. sars cov-2 is the virus that causes covid-19. the researchers posted their data to the preprint server biorxiv. the findings are not yet peer reviewed but are being shared to assist the public health response to covid-19. based on these data a phase 1 tr.,1,CoAID
The Simpsons predicted the new coronavirus outbreak.,0,CoAID
COMMENTARY: No Better Time to Thank Our Nurses. this website is using a security service to protect itself from online attacks ..,1,CoAID
"Breast Cancer Study Offers New Hope. En Español

TUESDAY, May 25, 2010 (HealthDay News) --Giving certain breast cancer patients estrogen-lowering drugs before surgery enhances their chances of being able to choose a breast-conserving lumpectomy instead of a full mastectomy, new research suggests.

The observation was based on a national study launched at 118 hospitals across the United States. It focused on postmenopausal women who had been diagnosed with estrogen receptor-positive (ER+) breast cancer that was either at stage II or stage III -- that is, tumors that were around an inch or greater in size and might have spread to the lymph nodes under the arm.

The most common form of breast cancer, ER+ accounts for about three-quarters of all breast cancer cases in the United States, the authors noted.

The 352 women who participated were monitored for tumor growth before and after being placed on a 16-week regimen of aromatase inhibitors -- estrogen-lowering agents -- before any surgery. Estrogen stimulates the growth of ER+ tumors.

The women were classified into three groups as the study began: ""marginal"", meaning that the women were eligible for a lumpectomy to conserve the breast, but that it would be disfiguring or require several operations; ""mastectomy-only"", meaning a lumpectomy was not considered possible; and ""inoperable"", meaning that doctors believed that even a mastectomy would not completely remove the cancer.

After the four months of estrogen-lowering therapy, the research team found that 82 percent of those women in the marginal group were, in fact, able to undergo successful breast-conservation surgery.

More than half of those women who had been categorized as mastectomy-only patients were also able to go the lumpectomy route and experience a good outcome. And 75 percent of those thought to be inoperable altogether were able to have breast-conservation surgery.

The investigation was funded by the American College of Surgeons Oncology Group and led by Dr. Julie A. Margenthaler, an assistant professor of surgery and a breast surgeon at the Siteman Cancer Center at Washington University in St. Louis.

""Aromatase inhibitor therapy shrank the tumors in many of these women and improved surgical outcomes,"" study chair Dr. Matthey J. Ellis, a breast cancer specialist at Washington University and Barnes-Jewish Hospital, said in a news release. ""These results will encourage a change in practice across the country so that more women can benefit from the currently underutilized approach of administering estrogen-lowering agents before surgery.""

The findings are scheduled to be presented June 7 at the American Society of Clinical Oncology annual meeting, in Chicago.

More information

For more on surgical options for breast cancer, visit the U.S. National Cancer Institute.",0,FakeHealth-HealthStory
Using sauna or aiming a hairdryer at oneÕs nose will kill the coronavirus.,0,CoAID
I don’t like the way someone touches me at home and we are both at home all the time because of the pandemic. What should I do?,1,CoAID-Claim
Coronavirus found in toilet paper.,0,CoAID
The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone,0,CoAID
NIH begins clinical trial of hydroxychloroquine and azithromycin to treat COVID-19. nih begins clinical trial of hydroxychloroquine and azithromycin to treat covid-19 study enrolling adults with mild to moderate covid-19 in the united states. a clinical trial has begun to evaluate whether the malaria drug hydroxychloroquine given together with the antibiotic azithromycin can prevent hospitalization and death from coronavirus disease 2019 covid-19. the national institute of allergy and infectious diseases niaid part of the national institutes of health is sponsoring th.,1,CoAID
"Selfie Medicine: Phone Apps Push People to Take Their Pills. ""If we can keep patients engaged, we can keep them in treatment longer,"" said lead researcher Dr. Judith Tsui of the University of Washington School of Medicine in Seattle.

The next phase of her research will compare a group of patients who use the monitoring app called emocha (ee-MOH-kuh) with those who don't to see if there's a difference.

At one Tennessee treatment center, some patients with opioid addiction are already using the app to upload selfies of their daily dose and answer questions about how they're doing.

""Every time they sign on, it allows us to capture data. Are they having cravings? Suicidal tendencies?"" said Scott Olson, CEO of Dallas-based Pathway Healthcare, which is trying the app at its Jackson, Tennessee, site. ""Maybe a phone call from a counselor might make the difference between staying clean and a relapse.""

Olson thinks insurers will pay for the service with more evidence. For monitoring tuberculosis patients, health departments pay roughly $35 to $50 per patient each month for systems that include encrypted data storage. A small health department might pay as little as $500 a month.

The idea of watching someone take their medicine — called directly observed therapy or DOT — has roots in tuberculosis where one person's forgetfulness can be serious for everyone. If patients don't take all their antibiotics, their infectious TB germs can get stronger, developing drug resistance and endangering the broader community.

But taking a handful of pills daily for up to a year is difficult, so public health departments traditionally sent workers to people's homes and workplaces to watch them take their doses. Today, many TB patients prefer remote monitoring. Nurses like it too.

Advertisement Continue reading the main story

Nurse Peggy Cooley has used Skype for years to chat live with patients taking TB medicine.

""We can accomplish in a two-minute phone call something that might have taken an hour to do and most of that hour was in the car,"" said Cooley, who works for the Tacoma-Pierce County Health Department in Washington state.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

The new uploaded selfies don't need an appointment. They are a daily routine for many tuberculosis patients in Seattle, San Francisco, Los Angeles and Houston, where savings on mileage and worker time amounted to $100,000 in a recent year.

In Boston, Albuquerque and five other cities, researchers are studying whether the technology works for hepatitis C, a blood-borne virus that's surging among a new generation of injection drug users. New drugs for hepatitis C can cure, but they're expensive — $75,000 for a 12-week course of treatment — so insurers want to make sure patients take them.

""I think it holds a lot of promise,"" said researcher Dr. Alain Litwin of University of South Carolina School of Medicine, who's testing whether patients do better when someone watches them take their pills.

What's next? An insurer in Maryland plans to use the technology in diabetes and high blood pressure to make sure Medicare and Medicaid patients take their medicine. Startups selling the apps say they could be used by faraway adult children monitoring an elderly parent's daily pill-taking.

Experts worry about privacy, data security and penalties for poor pill-taking.

""That's the biggest ick factor,"" said Carolyn Neuhaus, a medical ethicist at the Hastings Center in New York. ""You can imagine a program where benefits are tied to compliance and the insurer says, 'We won't pay for medication anymore unless you're taking it correctly.'""

Globally, the rapid spread of smartphones creates an opportunity to eradicate TB, say the app developers.

But eliminating TB may take simpler, cheaper technologies that can be scaled for millions of cases, said Dr. Daniel Chin, who leads TB efforts for the Bill and Melinda Gates Foundation.

The group supports research in China and India on two homegrown technologies. China's tool, about the size of a child's shoebox, reminds patients to take their pills and saves data for review. In India, the government favors a blister pill pack printed with phone numbers; a patient punches out a daily pill, then calls the revealed number.

Advertisement Continue reading the main story

Worldwide, TB kills more than 1.6 million people annually, even though most deaths are preventable with treatment.

""If we are going to eliminate the disease, we need technology,"" said Dr. Richard Garfein of the University of California, San Diego School of Medicine, who helped develop one of the smartphone apps, SureAdhere.

___

Follow AP Medical Writer Carla K. Johnson on Twitter: @CarlaKJohnson

___

The Associated Press Health & Science Department receives support from the Howard Hughes Medical Institute's Department of Science Education. The AP is solely responsible for all content.",1,FakeHealth-HealthStory
